loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,lr
191911920.0,13853.2275390625,282186784.0,16798.416015625,0.001
191939056.0,13854.20703125,282185984.0,16798.392578125,0.001
191927232.0,13853.7802734375,282185088.0,16798.365234375,0.001
191929040.0,13853.845703125,282183968.0,16798.33203125,0.001
191943024.0,13854.3505859375,282183040.0,16798.3046875,0.001
191913136.0,13853.271484375,282182112.0,16798.27734375,0.001
191929136.0,13853.849609375,282181056.0,16798.24609375,0.001
191922768.0,13853.619140625,282180224.0,16798.220703125,0.001
191923328.0,13853.6396484375,282179296.0,16798.193359375,0.001
191905936.0,13853.01171875,282178368.0,16798.166015625,0.001
191897472.0,13852.7060546875,282177472.0,16798.138671875,0.001
191924864.0,13853.6953125,282176608.0,16798.11328125,0.001
191917696.0,13853.4365234375,282175744.0,16798.087890625,0.001
191896112.0,13852.6572265625,282174976.0,16798.064453125,0.001
191922928.0,13853.625,282173856.0,16798.03125,0.001
191895488.0,13852.634765625,282172992.0,16798.005859375,0.001
191917712.0,13853.4365234375,282172096.0,16797.978515625,0.001
191935824.0,13854.0908203125,282171168.0,16797.951171875,0.001
191909952.0,13853.1572265625,282170176.0,16797.921875,0.001
191875216.0,13851.9033203125,282169472.0,16797.900390625,0.001
191912656.0,13853.25390625,282168608.0,16797.875,0.001
191907184.0,13853.056640625,282167552.0,16797.84375,0.001
191917360.0,13853.423828125,282166432.0,16797.810546875,0.001
191887488.0,13852.345703125,282165248.0,16797.775390625,0.001
191863152.0,13851.4677734375,282164064.0,16797.740234375,0.001
191840784.0,13850.66015625,282162880.0,16797.705078125,0.001
191883344.0,13852.1962890625,282161728.0,16797.669921875,0.001
191880560.0,13852.095703125,282160736.0,16797.640625,0.001
191853312.0,13851.1123046875,282159808.0,16797.61328125,0.001
191862992.0,13851.4619140625,282158560.0,16797.576171875,0.001
191868592.0,13851.6640625,282157248.0,16797.537109375,0.001
191859024.0,13851.318359375,282156128.0,16797.50390625,0.001
191835216.0,13850.458984375,282154496.0,16797.455078125,0.001
191847280.0,13850.89453125,282153120.0,16797.4140625,0.001
191886352.0,13852.3046875,282151680.0,16797.37109375,0.001
191874992.0,13851.89453125,282150304.0,16797.330078125,0.001
191832720.0,13850.369140625,282149056.0,16797.29296875,0.001
191863504.0,13851.48046875,282147616.0,16797.25,0.001
191856272.0,13851.21875,282146112.0,16797.205078125,0.001
191859120.0,13851.322265625,282144736.0,16797.1640625,0.001
191868352.0,13851.6552734375,282143264.0,16797.12109375,0.001
191840768.0,13850.6591796875,282141952.0,16797.08203125,0.001
191822000.0,13849.982421875,282140640.0,16797.04296875,0.001
191819088.0,13849.876953125,282139328.0,16797.00390625,0.001
191811696.0,13849.6103515625,282137760.0,16796.95703125,0.001
191839616.0,13850.6181640625,282136256.0,16796.912109375,0.001
191834432.0,13850.4306640625,282134816.0,16796.869140625,0.001
191826496.0,13850.14453125,282133504.0,16796.830078125,0.001
191802192.0,13849.2666015625,282132000.0,16796.78515625,0.001
